step,phi,danger,altitude,wind_norm,pe
390,0.099056,0.9153,17.0110,0.7428,0.0000
391,0.099023,0.9207,16.9957,0.7482,0.0000
392,0.098990,0.9226,16.9804,0.7500,0.0000
393,0.099022,0.9210,16.9650,0.7482,0.0000
394,0.098825,0.9157,16.9495,0.7428,0.0000
395,0.098766,0.9070,16.9340,0.7340,0.0023
396,0.098981,0.8948,16.9185,0.7217,0.0000
397,0.099143,0.8795,16.9030,0.7063,0.0000
398,0.099319,0.8613,16.8874,0.6879,0.0000
399,0.099509,0.8403,16.8717,0.6668,0.0000
400,0.099704,0.8169,16.8560,0.6434,0.0001
401,0.099898,0.7915,16.8403,0.6178,0.0000
402,0.100089,0.7644,16.8246,0.5906,0.0000
403,0.100271,0.7360,16.8088,0.5620,0.0000
404,0.100445,0.7066,16.7929,0.5326,0.0001
405,0.100607,0.6768,16.7771,0.5027,0.0000
406,0.100761,0.6470,16.7612,0.4727,0.0000
407,0.100902,0.6176,16.7452,0.4432,0.0000
408,0.101032,0.5890,16.7292,0.4144,0.0000
409,0.101150,0.5616,16.7132,0.3869,0.0000
410,0.101252,0.5358,16.6971,0.3611,0.0000
411,0.101337,0.5121,16.6810,0.3372,0.0000
412,0.102485,0.4906,16.6649,0.3156,0.0000
413,0.103553,0.4719,16.6487,0.2967,0.0000
414,0.104542,0.4560,16.6325,0.2808,0.0000
415,0.105454,0.4433,16.6162,0.2680,0.0000
416,0.106289,0.4340,16.5999,0.2585,0.0000
417,0.107051,0.4281,16.5836,0.2525,0.0000
418,0.107750,0.4258,16.5672,0.2501,0.0000
419,0.108393,0.4271,16.5508,0.2512,0.0000
420,0.108972,0.4319,16.5343,0.2559,0.0000
421,0.109595,0.4403,16.5178,0.2642,0.0000
422,0.110293,0.4521,16.5013,0.2758,0.0000
423,0.110950,0.4670,16.4847,0.2907,0.0000
424,0.111567,0.4850,16.4681,0.3086,0.0000
425,0.109979,0.5058,16.4514,0.3292,0.0000
426,0.108211,0.5290,16.4347,0.3523,0.0000
427,0.106223,0.5543,16.4180,0.3775,0.0000
428,0.103969,0.5814,16.4012,0.4044,0.0000
429,0.101396,0.6099,16.3844,0.4328,0.0001
430,0.100771,0.6393,16.3676,0.4621,0.0000
431,0.100675,0.6693,16.3507,0.4919,0.0000
432,0.100564,0.6994,16.3338,0.5219,0.0001
433,0.100438,0.7292,16.3168,0.5516,0.0000
434,0.100297,0.7582,16.2998,0.5805,0.0000
435,0.100144,0.7861,16.2827,0.6082,0.0000
436,0.099980,0.8124,16.2656,0.6344,0.0000
437,0.099810,0.8368,16.2485,0.6587,0.0000
438,0.099637,0.8589,16.2314,0.6807,0.0000
439,0.099466,0.8785,16.2142,0.7001,0.0000
440,0.099273,0.8951,16.1969,0.7166,0.0000
441,0.099188,0.9086,16.1796,0.7300,0.0000
442,0.099123,0.9188,16.1623,0.7401,0.0000
443,0.099065,0.9256,16.1450,0.7467,0.0147
444,0.098957,0.9288,16.1276,0.7498,0.0000
445,0.098973,0.9284,16.1101,0.7493,0.0000
446,0.098991,0.9245,16.0926,0.7452,0.0000
447,0.098777,0.9170,16.0751,0.7375,0.0000
448,0.098780,0.9061,16.0576,0.7265,0.0000
449,0.099007,0.8919,16.0400,0.7122,0.0000
450,0.099286,0.8747,16.0224,0.6949,0.0000
451,0.099496,0.8547,16.0047,0.6747,0.0000
452,0.099661,0.8322,15.9870,0.6521,0.0000
453,0.099836,0.8074,15.9692,0.6272,0.0000
454,0.100017,0.7809,15.9514,0.6005,0.0000
455,0.100198,0.7529,15.9336,0.5724,0.0000
456,0.100374,0.7239,15.9157,0.5432,0.0000
457,0.100541,0.6942,15.8978,0.5135,0.0001
458,0.100696,0.6644,15.8799,0.4835,0.0000
459,0.100841,0.6348,15.8619,0.4537,0.0000
460,0.100973,0.6058,15.8439,0.4247,0.0000
461,0.101091,0.5780,15.8258,0.3967,0.0001
462,0.101195,0.5516,15.8077,0.3702,0.0000
463,0.101283,0.5271,15.7896,0.3455,0.0000
464,0.101352,0.5048,15.7714,0.3231,0.0000
465,0.102482,0.4851,15.7532,0.3032,0.0000
466,0.103530,0.4682,15.7349,0.2862,0.0000
467,0.104499,0.4543,15.7166,0.2722,0.0000
468,0.105387,0.4438,15.6983,0.2615,0.0000
469,0.106200,0.4367,15.6799,0.2543,0.0000
470,0.106945,0.4331,15.6615,0.2505,0.0000
471,0.107629,0.4331,15.6430,0.2504,0.0000
472,0.108249,0.4366,15.6245,0.2538,0.0000
473,0.108862,0.4438,15.6060,0.2608,0.0000
474,0.109605,0.4543,15.5874,0.2713,0.0000
475,0.110302,0.4682,15.5688,0.2850,0.0000
476,0.110954,0.4852,15.5502,0.3018,0.0000
477,0.109317,0.5050,15.5315,0.3215,0.0000
478,0.107482,0.5273,15.5128,0.3437,0.0000
479,0.105406,0.5520,15.4940,0.3682,0.0000
480,0.103040,0.5785,15.4752,0.3945,0.0000
481,0.100886,0.6065,15.4563,0.4224,0.0000
482,0.100806,0.6357,15.4375,0.4514,0.0000
483,0.100712,0.6655,15.4185,0.4812,0.0000
484,0.100601,0.6956,15.3996,0.5111,0.0000
485,0.100476,0.7256,15.3806,0.5409,0.0000
486,0.100332,0.7550,15.3615,0.5702,0.0001
487,0.100177,0.7833,15.3425,0.5984,0.0000
488,0.100012,0.8103,15.3233,0.6252,0.0000
489,0.099840,0.8354,15.3042,0.6502,0.0001
490,0.099664,0.8584,15.2850,0.6731,0.0000
