step,phi,danger,speed,slip,friction,pe
305,0.099983,0.7200,3.1971,1.0000,0.3500,0.0002
306,0.100111,0.7200,3.2076,1.0000,0.3500,0.0005
307,0.099996,0.7200,3.2180,1.0000,0.3500,0.0000
308,0.100144,0.7200,3.2285,1.0000,0.3500,0.0006
309,0.100089,0.7200,3.2389,1.0000,0.3500,0.0000
310,0.100046,0.7200,3.2494,1.0000,0.3500,0.0002
311,0.100183,0.7200,3.2599,1.0000,0.3500,0.0003
312,0.100057,0.7200,3.2703,1.0000,0.3500,0.0003
313,0.100265,0.7200,3.2808,1.0000,0.3500,0.0003
314,0.100344,0.7200,3.2912,1.0000,0.3500,0.0000
315,0.100082,0.7200,3.3017,1.0000,0.3500,0.0003
316,0.100358,0.7200,3.3121,1.0000,0.3500,0.0000
317,0.100092,0.7200,3.3226,1.0000,0.3500,0.0000
318,0.100149,0.7200,3.3330,1.0000,0.3500,0.0003
319,0.100150,0.7200,3.3435,1.0000,0.3500,0.0000
320,0.100149,0.7200,3.3539,1.0000,0.3500,0.0003
321,0.100150,0.7200,3.3644,1.0000,0.3500,0.0000
322,0.100129,0.7200,3.3748,1.0000,0.3500,0.0003
323,0.100280,0.7200,3.3853,1.0000,0.3500,0.0002
324,0.100072,0.7200,3.3958,1.0000,0.3500,0.0001
325,0.100087,0.7200,3.4062,1.0000,0.3500,0.0002
326,0.100106,0.7200,3.4167,1.0000,0.3500,0.0000
327,0.100118,0.7200,3.4271,1.0000,0.3500,0.0000
328,0.100128,0.7200,3.4376,1.0000,0.3500,0.0002
329,0.100135,0.7200,3.4480,1.0000,0.3500,0.0000
330,0.100139,0.7200,3.4585,1.0000,0.3500,0.0000
331,0.100142,0.7200,3.4689,1.0000,0.3500,0.0000
332,0.100145,0.7200,3.4794,1.0000,0.3500,0.0002
333,0.100148,0.7200,3.4898,1.0000,0.3500,0.0000
334,0.100127,0.7200,3.5003,1.0000,0.3500,0.0000
335,0.100279,0.7200,3.5107,1.0000,0.3500,0.0000
336,0.100075,0.7200,3.5212,1.0000,0.3500,0.0000
337,0.100088,0.7200,3.5316,1.0000,0.3500,0.0000
338,0.100106,0.7200,3.5421,1.0000,0.3500,0.0000
339,0.100119,0.7200,3.5525,1.0000,0.3500,0.0000
340,0.100128,0.7200,3.5630,1.0000,0.3500,0.0000
341,0.100135,0.7200,3.5734,1.0000,0.3500,0.0003
342,0.100140,0.7200,3.5839,1.0000,0.3500,0.0000
343,0.100142,0.7200,3.5943,1.0000,0.3500,0.0000
344,0.100145,0.7200,3.6047,1.0000,0.3500,0.0000
345,0.100126,0.7200,3.6152,1.0000,0.3500,0.0000
346,0.100277,0.7200,3.6256,1.0000,0.3500,0.0000
347,0.100076,0.7200,3.6361,1.0000,0.3500,0.0000
348,0.100087,0.7200,3.6465,1.0000,0.3500,0.0000
349,0.100106,0.7200,3.6570,1.0000,0.3500,0.0000
350,0.100119,0.7200,3.6674,1.0000,0.3500,0.0000
351,0.100128,0.7200,3.6779,1.0000,0.3500,0.0002
352,0.100135,0.7200,3.6883,1.0000,0.3500,0.0000
353,0.100138,0.7200,3.6988,1.0000,0.3500,0.0000
354,0.100142,0.7200,3.7092,1.0000,0.3500,0.0000
355,0.100144,0.7200,3.7197,1.0000,0.3500,0.0000
356,0.100125,0.7200,3.7301,1.0000,0.3500,0.0000
357,0.100274,0.7200,3.7405,1.0000,0.3500,0.0000
358,0.100076,0.7200,3.7510,1.0000,0.3500,0.0000
359,0.100088,0.7200,3.7614,1.0000,0.3500,0.0001
360,0.100106,0.7200,3.7719,1.0000,0.3500,0.0002
361,0.100119,0.7200,3.7823,1.0000,0.3500,0.0000
362,0.100127,0.7200,3.7928,1.0000,0.3500,0.0000
363,0.100133,0.7200,3.8032,1.0000,0.3500,0.0000
364,0.100138,0.7200,3.8137,1.0000,0.3500,0.0000
365,0.100141,0.7200,3.8241,1.0000,0.3500,0.0000
366,0.100144,0.7200,3.8345,1.0000,0.3500,0.0000
367,0.100124,0.7200,3.8450,1.0000,0.3500,0.0000
368,0.100271,0.7200,3.8554,1.0000,0.3500,0.0000
369,0.100077,0.7200,3.8659,1.0000,0.3500,0.0002
370,0.100088,0.7200,3.8763,1.0000,0.3500,0.0000
371,0.100105,0.7200,3.8867,1.0000,0.3500,0.0000
372,0.100118,0.7200,3.8972,1.0000,0.3500,0.0000
373,0.100126,0.7200,3.9076,1.0000,0.3500,0.0000
374,0.100133,0.7200,3.9181,1.0000,0.3500,0.0003
375,0.100138,0.7200,3.9285,1.0000,0.3500,0.0000
376,0.100140,0.7200,3.9389,1.0000,0.3500,0.0001
377,0.100143,0.7200,3.9494,1.0000,0.3500,0.0000
378,0.100144,0.7200,3.9598,1.0000,0.3500,0.0002
379,0.100125,0.7200,3.9703,1.0000,0.3500,0.0000
380,0.100267,0.7200,3.9807,1.0000,0.3500,0.0000
381,0.100078,0.7200,3.9911,1.0000,0.3500,0.0000
382,0.100088,0.7200,4.0016,1.0000,0.3500,0.0000
383,0.100106,0.7200,4.0120,1.0000,0.3500,0.0000
384,0.100118,0.7200,4.0224,1.0000,0.3500,0.0000
385,0.100126,0.7200,4.0329,1.0000,0.3500,0.0000
386,0.100132,0.7200,4.0433,1.0000,0.3500,0.0000
387,0.100137,0.7200,4.0538,1.0000,0.3500,0.0001
388,0.100141,0.7200,4.0642,1.0000,0.3500,0.0006
389,0.100144,0.7200,4.0746,1.0000,0.3500,0.0000
390,0.100121,0.7200,4.0851,1.0000,0.3500,0.0000
391,0.100265,0.7200,4.0955,1.0000,0.3500,0.0000
392,0.100078,0.7200,4.1059,1.0000,0.3500,0.0000
393,0.100087,0.7200,4.1164,1.0000,0.3500,0.0000
394,0.100105,0.7200,4.1268,1.0000,0.3500,0.0001
395,0.100117,0.7200,4.1372,1.0000,0.3500,0.0001
396,0.100126,0.7200,4.1477,1.0000,0.3500,0.0000
