step,phi,danger,depth,current_norm,chemical,pe
204,0.130809,0.0988,9.9990,0.1375,0.1000,0.0000
205,0.130820,0.0965,9.9990,0.1330,0.1000,0.0000
206,0.130831,0.0943,9.9990,0.1285,0.1000,0.0000
207,0.130842,0.0921,9.9990,0.1241,0.1000,0.0000
208,0.130852,0.0899,9.9990,0.1198,0.1000,0.0000
209,0.130862,0.0877,9.9990,0.1155,0.1000,0.0000
210,0.130872,0.0856,9.9989,0.1113,0.1000,0.0000
211,0.130881,0.0836,9.9989,0.1071,0.1000,0.0000
212,0.130890,0.0815,9.9989,0.1030,0.1000,0.0000
213,0.130899,0.0795,9.9989,0.0990,0.1000,0.0000
214,0.130907,0.0775,9.9989,0.0950,0.1000,0.0000
215,0.130915,0.0755,9.9989,0.0911,0.1000,0.0000
216,0.130923,0.0736,9.9989,0.0872,0.1000,0.0000
217,0.130930,0.0717,9.9989,0.0835,0.1000,0.0000
218,0.130937,0.0699,9.9989,0.0798,0.1000,0.0000
219,0.130944,0.0681,9.9989,0.0761,0.1000,0.0000
220,0.130950,0.0663,9.9988,0.0726,0.1000,0.0000
221,0.130956,0.0645,9.9988,0.0691,0.1000,0.0000
222,0.130962,0.0628,9.9988,0.0657,0.1000,0.0000
223,0.130967,0.0612,9.9988,0.0623,0.1000,0.0000
224,0.130972,0.0595,9.9988,0.0591,0.1000,0.0000
225,0.130977,0.0580,9.9988,0.0559,0.1000,0.0000
226,0.130982,0.0564,9.9988,0.0528,0.1000,0.0000
227,0.130986,0.0549,9.9988,0.0498,0.1000,0.0000
228,0.130990,0.0534,9.9988,0.0468,0.1000,0.0000
229,0.130994,0.0520,9.9988,0.0440,0.1000,0.0000
230,0.130997,0.0506,9.9987,0.0412,0.1000,0.0000
231,0.131000,0.0493,9.9987,0.0385,0.1000,0.0000
232,0.131003,0.0480,9.9987,0.0359,0.1000,0.0000
233,0.131005,0.0467,9.9987,0.0334,0.1000,0.0000
234,0.131007,0.0455,9.9987,0.0310,0.1000,0.0000
235,0.131009,0.0443,9.9987,0.0286,0.1000,0.0000
236,0.131011,0.0432,9.9987,0.0264,0.1000,0.0000
237,0.131013,0.0421,9.9987,0.0242,0.1000,0.0000
238,0.131014,0.0411,9.9987,0.0221,0.1000,0.0000
239,0.131015,0.0401,9.9987,0.0201,0.1000,0.0000
240,0.131015,0.0391,9.9986,0.0182,0.1000,0.0000
241,0.131016,0.0382,9.9986,0.0164,0.1000,0.0000
242,0.131016,0.0374,9.9986,0.0147,0.1000,0.0000
243,0.131016,0.0365,9.9986,0.0131,0.1000,0.0000
244,0.131015,0.0358,9.9986,0.0116,0.1000,0.0000
245,0.131015,0.0351,9.9986,0.0101,0.1000,0.0000
246,0.131014,0.0344,9.9986,0.0088,0.1000,0.0000
247,0.131013,0.0338,9.9986,0.0075,0.1000,0.0000
248,0.131012,0.0332,9.9986,0.0064,0.1000,0.0000
249,0.130982,0.0327,9.9985,0.0053,0.1000,0.0000
250,0.131438,0.0322,9.9985,0.0043,0.1000,0.0000
251,0.131045,0.0317,9.9985,0.0035,0.1000,0.0000
252,0.130999,0.0314,9.9985,0.0027,0.1000,0.0000
253,0.130994,0.0310,9.9985,0.0020,0.1000,0.0000
254,0.131005,0.0307,9.9985,0.0015,0.1000,0.0000
255,0.131023,0.0305,9.9985,0.0010,0.1000,0.0000
256,0.131009,0.0303,9.9985,0.0006,0.1000,0.0000
257,0.131369,0.0301,9.9984,0.0003,0.1000,0.0000
258,0.130994,0.0301,9.9984,0.0001,0.1000,0.0000
259,0.130988,0.0300,9.9984,0.0000,0.1000,0.0000
260,0.131018,0.0300,9.9984,0.0000,0.1000,0.0000
261,0.131039,0.0301,9.9984,0.0001,0.1000,0.0000
262,0.131053,0.0302,9.9984,0.0003,0.1000,0.0000
263,0.131063,0.0303,9.9984,0.0006,0.1000,0.0000
264,0.131043,0.0305,9.9984,0.0010,0.1000,0.0000
265,0.131333,0.0307,9.9984,0.0015,0.1000,0.0000
266,0.130973,0.0310,9.9983,0.0021,0.1000,0.0000
267,0.131012,0.0314,9.9983,0.0028,0.1000,0.0000
268,0.131040,0.0318,9.9983,0.0035,0.1000,0.0000
269,0.131058,0.0322,9.9983,0.0044,0.1000,0.0000
270,0.131070,0.0327,9.9983,0.0054,0.1000,0.0000
271,0.131078,0.0332,9.9983,0.0064,0.1000,0.0000
272,0.131070,0.0338,9.9983,0.0076,0.1000,0.0000
273,0.131042,0.0344,9.9983,0.0089,0.1000,0.0000
274,0.131024,0.0351,9.9982,0.0102,0.1000,0.0000
275,0.131013,0.0358,9.9982,0.0117,0.1000,0.0000
276,0.131006,0.0366,9.9982,0.0132,0.1000,0.0000
277,0.131002,0.0374,9.9982,0.0148,0.1000,0.0000
278,0.130998,0.0383,9.9982,0.0165,0.1000,0.0000
279,0.130996,0.0392,9.9982,0.0184,0.1000,0.0000
280,0.130994,0.0401,9.9982,0.0203,0.1000,0.0000
281,0.130992,0.0411,9.9982,0.0223,0.1000,0.0000
282,0.130990,0.0422,9.9982,0.0243,0.1000,0.0000
283,0.130988,0.0433,9.9981,0.0265,0.1000,0.0000
284,0.130986,0.0444,9.9981,0.0288,0.1000,0.0000
285,0.130984,0.0456,9.9981,0.0311,0.1000,0.0000
286,0.130981,0.0468,9.9981,0.0336,0.1000,0.0000
287,0.130978,0.0480,9.9981,0.0361,0.1000,0.0000
288,0.130975,0.0494,9.9981,0.0387,0.1000,0.0000
289,0.130972,0.0507,9.9981,0.0414,0.1000,0.0000
290,0.130968,0.0521,9.9981,0.0442,0.1000,0.0000
291,0.130964,0.0535,9.9980,0.0470,0.1000,0.0000
